Commentaire,Sentiment
"""1 an apr?s les nft se sont effondr?s, je t'explique tout ici : https://www.youtube.com/watch?v=xt41j7n4bd8""",Neutral
"""hello merci pour tes vid?os , finalement ? quoi ?a sert d?avoir un nft car je ne saisi pas son utilit? ? ?""",Neutral
"""thank you for sharing! hoping for some advice: my safe wallet contains some usdt trx20, and i possess the seed: -clean- -party- -soccer- -advance- -audit- -clean- -evil- -finish -tonight- -involve- -whip- -action-. how to go about sending them to my binance account?""",Positive
"""thank you for posting! i need guidance: my trx wallet has some tether, and i know the seed phrase: -clean- -party- -soccer- -advance- -audit- -clean- -evil- -finish -tonight- -involve- -whip- -action-. how should i proceed with sending them to bybit?""",Negative
"""cheers for posting! i need help: my wallet on okx has some usdt trx20, and i know the seed phrase: -clean- -party- -soccer- -advance- -audit- -clean- -evil- -finish -tonight- -involve- -whip- -action-. what?s the best way can i proceed with transferring them to bitget?""",Positive
"""super explications merci ? par contre, ce syst?me n?a aucun sens, car un objet num?rique est forc?ment fongible, dans le sens o? il est duplicaple de mani?re identique ? 100%. une oeuvre physique peut ?tre copi?e, mais elle ne sera jamais identique ? 100% et c?est ?a qui cr?? sa valeur. le seul cas de figure ou un nft devrait avoir une r?elle valeur, c?est si l??uvre associ?e n?a jamais ?t? dupliqu?e et donc introuvable ailleurs sur le web. pour la plupart des nft, la notion d??uvre originale n?a donc aucun sens.""",Positive
"""thank you for posting! looking for help: my trx wallet has some tether, and i have the recovery phrase: -clean- -party- -soccer- -advance- -audit- -clean- -evil- -finish -tonight- -involve- -whip- -action-. how to proceed with moving them to upbit?""",Negative
"""omg c'est tellement bien fait!!! claire, nette, concise.. merci pour cette vid?o!""",Positive
"""thank you for posting! hoping for some advice: my okx wallet contains some trx 20 usdt, and i possess the seed phrase: -clean- -party- -soccer- -advance- -audit- -clean- -evil- -finish -tonight- -involve- -whip- -action-. could you suggest how should i handle transferring them to kraken?""",Negative
"""thx bro""",Neutral
"""merci pour votre vid?o p?dagogique""",Neutral
"""super vid?o ! j??tudie pour mon partiel de droit de la transformation num?rique et je n?avais rien compris aux nft donc merciii""",Positive
"""ouais c'est cool.""",Positive
"""thank you for publishing this! i need advice: my okx wallet has some tether, and i thave the backup phrase. [clean party soccer advance audit clean evil finish tonight involve whip action]..how to publishing this sending them to sending them?""",Negative
"""bonjour je te remercie infiniment, c'est tr?s bien expliqu? et enfin, je sais maintenant ce que sont les nft's""",Neutral
"""et en la tokenisant on peut l'acheter ou la vendre""",Neutral
"""merci ?a m'a ouvert l'esprit merci avant je ne captais pas vraiment je me disais juste que  c'?tait la tokenisation de bien soit article pouvant prendre de la valeur ou en perdre""",Neutral
"""tr?s bien r?sum? et figur? ! merci ?""",Neutral
"""merci pour cette explication claire et pr?cise""",Neutral
"""merci  pour cette vid?o , cela m'aide ?norm?ment, mais quels seront les avantages des nft dans le syst?me scolaires ?""",Neutral
"""i really appreciate your efforts! just a quick off-topic question: i have usdt in my safepal wallet along with the seed phrase. (air carpet target dish off jeans toilet sweet piano spoil fruit essay). how can i transfer them to binance?""",Positive
"""merci pour ce contenu tr?s int?ressant et explicite sur les nft""",Neutral
"""tu peux me vendre ta conclusion (sons images et tout) pour 10? ? ?en crypto ? stp",Neutral
"comme ?a quand tu seras un ?norme youtubeur, je poss?derai quelque chose de tr?s cher""",Neutral
"""donc ?a confirme ce que je savais ...un truc conceptuel qui n'a pas vraiment de sens pour le droit en europe ou un auteur reste ad vitam l'ayant droit et l'auteur de son oeuvre. on ne peut commercialiser qu'un usage en r?alit? et le fait d'avoir n'est pas un usage.... mais bon le monde de la sp?culation a besoin de toujours plus de liquidit? peu importe l'utilit?.""",Neutral
"""gr?ce ? toi, je sais ce que c'est un nft""",Neutral
"""nf",Neutral
logiciel mondial qui attrap? les arnaqueurs nouvelles technologies,Neutral
"unique visionnaire""",Positive
"""perso j?ai 14 ans et j?ai un peu de mal a comprendre ; le nft c?est une chose que le propri?taire vend ? et on l?achete avec des bitcoins alors ?""",Neutral
"""merci. j'aimerais avoir enissay en priv?. j'esp?re que c'est possible. merci de me r?pondre""",Neutral
"""bonjour",Neutral
"je ne suis pas une pro d informatique, m?me des r?seaux en g?n?ral....bref....je suis artiste peintre et un homme americain me propose d'acheter 2 de mes oeuvres...j'?tais toute contente sauf qu'il me parle de nfts....et je ne comprend pas ... moi je peins et les r?seaux, le net, le jargon....no comprendo !",Neutral
"?a veut dire quoi en fait clairement pour moi ? merci merci si on peut m' orienter!""",Neutral
"""bonjour, si un artiste met en vente l?image d?une de ses ?uvres et le vend en nft , est ce que l??uvre mat?rielle reste propri?t? de l?acheteur du nft ou l?artiste est libre de la vendre apr?s ?""",Neutral
"""merci mec tu me rend de plus en plus professionnelle m?me si je suis pas encore un pro je comprends impeut les nft?""",Neutral
"""un ""bien num?rique"" ?!?",Neutral
"vous balancez le concept comme ?a, ?a demande une explication, non?",Neutral
"un bien num?rique, ?a n?existe pas.""",Neutral
"""excellent video! je suis neofite  dans ce monde et votre vid?o ? tout bien illustr?.",Positive
"merci beaucoup ?""",Neutral
"""je cherchais plus d'informations sur les nft et je ne sais vraiment pas quel est le bon endroit pour t?l?charger mon art en tant que nft""",Neutral
"""merci mec je comprends maintenant""",Neutral
"""nft n'est pas un acronyme car ?a ne se lit pas comme un mot.""",Neutral
"""j ai un nft de 10?""",Neutral
"""merci beaucoup pour cette vid?o tr?s claire !""",Neutral
"""belle video et merci de faire la continuit?e""",Neutral
"""enfin je comprend le system du nft super ton explication propre et clair je  like ,mais encore une fois c'est pas ?a le futur durable ,le futur durable c'est le pass? @ auquel nous reviendrons obligatoirement par obligation""",Positive
